J szám,DÁTUM,CÉGNÉV,CÍM,ÜGYFÉL NEVE,MUNKASZÁM,eszköz,Gyáriszám,HIBAJELENSÉG,ELKÉSZÜLÉS ,NYITOTT - 1 LEZÁRT  - 0,MUNKAÓRA,DOLGOZÓ,VÉGZETT MUNKA,FELHASZNÁLT ANYAG,"
JAVÍTÁS HELYE
1-GYÁRTÁS
2-SZÉV
3-EGYÉB",MEGJEGYZÉS,"Javított egység beépítési
helye",Szervízlap száma,Egyéb információk,
J00001,2020/01/28,NCT (TAKSONY),M19063 - SONIMA - SD-32,,M19063,EPU-SIS,100-30-0847,az R1 relé nem húz meg a MOA1 csak egy pillanat erejéig jön meg utána el is megy,,1,,,,,,VISSZA LOGISZTIKA,,,,
J00002,2020/01/28,NCT (TAKSONY),M19064 - SONIMA - SD-32,,M19064,I32S,00E-10-1018,Ledobja a kommunikációt,,1,,,,,,VISSZA LOGISZTIKA,,,,
J00003,2020/01/29,NCT (TAKSONY),M18088 - MWT - HTL-117,,M18088,EXE2-1/50,192501-0270,"PLC-ből vezérelt átkapcsoláskor jeladóhiba, manuális átkapcsoláskor nincs jeladóhiba.",,1,,,,,,VISSZA M18088-RA,,,,
J00004,2020/01/30,NCT (TAKSONY),m17272 - INLONG - B-640,,M17272,MUEXE-VS,0020-41-1934,Kitörött egy lába,,1,,,,,,VISSZA M17272,,,,
J00005,2020/01/31,NCT (TAKSONY),M16276 - SCHUNK CARBON - KLOPP (III.),,M16276,VM132L-54-40-15-06,160825104G,"Csapágyas, jeladó csere",,1,,,,,,VISSZA SZÉV,,,,
J00006,2020/02/05,NCT (TAKSONY),F19001(M18231) - DOROTI - MM-850,,F19001(M18231),AiS100,CC2-10-5023,,,1,,,,,,VISSZA LOGISZTIKA,,,,
J00007,2020/02/06,NCT (TAKSONY),M18295 - SNAP-ON - B-640,,M18295,DSC-10/20 LE,42B-11-5430,"1 óra működés után leáll, és nem kapcsol be többet",,0,"1,00",Zsombor,trafó csere,,,VISSZA LOGISZTIKA,,,,c
J00008,2020/02/07,NCT (TAKSONY),M18007 - ALBERT - VD-510S,,M18007,DS-6/12D,322-10-2020,"nem volt rá szükség, így beküldték. Ellenőrzésre feladva",2020/02/10/,0,"1,00",Dévai,teszt ok,,,VISSZA LOGISZTIKA,,,,d
J00009,2020/02/13,NCT (TAKSONY),M19035 - NCT - JSL-32ABMs,,M19035,IPS02,607-10-0905,betáp nem kapcsol be,2020/02/14/,0,"1,00",Lovász,"biztosíték csere, járatás",237 cikk 3 db,,VISSZA LOGISZTIKA,,,,
J00010,2020/02/13,NCT (TAKSONY),M18307 - SVG - HBM-130,,M18307,DAC-60/120-RT,43F-14-5078,"D-sub csati rossz, WKC hiba",2020/02/21/,0,"4,00",Csabai,"alkatrész csere, tesztelés","1 db IGBT,1 db IGBT panel",,VISSZA LOGISZTIKA,,,,c 
J00011,2020/02/13,NCT (TAKSONY),Taksony,Szegedi Dani,,DPS-40-24-R,571-10-0457,"Szikrázott, Brake Chopper failure világít (egyensúlyozó gépé)",2020/02/14/,0,"2,00",Lovász,"IGBT,és lágyindító csere",1 db 435 ciik. Ellenállás 1 db 3278 cikk. IGBT,,VISSZA TAKSONY,,,,
J00012,2020/03/06,NCT (TAKSONY),M19066 - MWT Technology Szolgáltató Kft. - Gildemeister CT-60,,M19066,O32S,00F-10-0158,hiányoznak belőle a távtartók,,1,,,,,,,,,,
J00013,2020/03/09,NCT (TAKSONY),F20002 - NCT - MM-850,,F20002(M18238),AiB15-54-26-EH/E-LA,F06-10-9271,"leesett a motor, megsérült",,0,,RákosrétiJózsef,javításra Csapónak,,,,,,,
J00014,2020/03/10,NCT (TAKSONY),M18253 - SL-FORG - MSL-200,,M18253,DAC-20/40-LT,43C-13-4967,"ritkán előfordul fordulatszám hiba. Főmotor gerjed, előírt fordulatszámot nem forogja",2019/06/11/,0,"1,00",Dévai,"valami átütött, lebontva",,,,,,,c
J00015,2020/03/16,NCT (TAKSONY),M18192 - Várda HMC-40D,,M18192,Ai15-54-25-EH/M-Z1,D85-10-9179,tengely szorul,,1,,,,,,,,,,
J00016,2020/04/06,NCT (TAKSONY),Taksony,,,DPB-3-40-80,1556,tesztelésre,2020/04/07/,0,"4,00",Csabai,"tisztítás tesztelés, alkatrész csere","92x92-es, 120x120-as ventilátor.",,,,,,
J00017,2020/04/28,NCT (TAKSONY),Taksony,Táti Peti hozta,,"15"" NCT104 monitor",,rossz,,1,,,,,,,,,,
J00018,2020/04/29,NCT (TAKSONY),Taksony,,M19101,iPS2,607-10-0970,orsó fékezésnél az X3-as csatlakozóhoz tartozó Ready LED pirosra váltott (zárlatot jelez),2020/05/27/,0,"1,00",logokában ellenállások cseréje 1%-osra,,,,,,,,
J00019,2020/04/30,NCT (TAKSONY),Taksony,,M19058,DSC-10/20-LE,42B-11-5416,Nem kommunikál az ETHERCAT-ben,2020/05/18/,0,"1,00",Dévai,DC trafó csere,,,,,,,
J00020,2020/04/30,NCT (TAKSONY),Taksony,,M18304,iPS1,606-10-0937,ellenőrzésre/tesztelésre,2020/05/19/,0,"1,00",Dévai,teszt ok,,,,,,,
J00021,2020/04/30,NCT (TAKSONY),Taksony,,M19100,DSC-20/40 LE,42C-11-5401,"ETHERCAT megszakadt, majd nem indult el",2020/05/18/,0,"1,00",Dévai,DC trafó csere,,,,,,,c
J00022,2020/05/01,NCT (TAKSONY),Taksony,Alhegyi Ildi,M20005,A9-54-30-EH/4096-Z2,1115-4496,EH/4096 -> EBI1135 átjeladózás,,1,,,,,,VISSZA TAKSONY,,,,
J00023,2020/05/01,NCT (TAKSONY),Taksony,Alhegyi Ildi,M20005,A9-54-30-EH/4096-Z2,?,EH/4096 -> EBI1135 átjeladózás,,1,,,,,,VISSZA TAKSONY,,,,
J00024,2020/05/01,NCT (TAKSONY),Taksony,Alhegyi Ildi,M20005,AB9-54-30-EH/4096-Z2,?,EH/4096 -> EBI1135 átjeladózás,,1,,,,,,VISSZA TAKSONY,,,,
J00025,2020/05/06,NCT (TAKSONY),M17215 - MÁV-START - STRIGON MZP 8m,,M17215,IPS2,607-10-0923,"főorsó max. fordulat fékezésnél a 2. csatorna zárlatot jelez, ha rá van dugva a DC540V",,1,,,,,,VISSZA LOGISZTIKA,,,,
J00026,2020/05/21,NCT (TAKSONY),Taksony,,M17215,DPB-3-40-160,574-10-3409,"""nincs ready""",2020/05/27/,0,"3,00",Csabai,"tesztelés, hibát nem találtam átadva labornak",,,VISSZA LOGISZTIKA,,,,
J00027,2020/07/16,NCT (TAKSONY),Taksony,,M19101,DSC-20/40-LE,42C-11-5525,"megszakad az EtherCat kommunikáció, és a status led sem világít",2020/07/28/,0,"1,00",Dévai,ecat kártya csere,,,,,,,c
J00028,2020/07/16,NCT (TAKSONY),Taksony,,M20029,PRC-3-40-80-R,57C-11-3706,főkapcsolós újraindítás után EtherCat kapcsolat megszakad (utána lévő eszközökkel is),2020/08/31/,0,"2,00",Csabai,"tesztelés,alkatrész csere",1 db E-CAT kártya,,,,,,
J00029,2020/07/21,NCT (TAKSONY),Taksony,,M20033,DSC-20/40-RE,42C-12-5646,nem kapcsol be,2020/07/28/,0,"1,00",Dévai,trafó csere,,,vissza logisztika,,,,c
J00030,2020/07/21,NCT (TAKSONY),Taksony,,m20044,MK1904,219-30-0254,hibás,,1,,,,,,vissza logisztika,,,,
J00031,2020/07/28,NCT (TAKSONY),Taksony,,M17228,EPU-SIS,100-30-0659,hibás,,1,,,,,,,,,,
J00032,2020/09/11,NCT (TAKSONY),Taksony,???,???,PDC,3599,nincsjelezve,2020/09/14/,0,"1,00",Lovász ,Átizsgálás klímázás,,,,,,,
J00033,2020/09/11,NCT (TAKSONY),Taksony?,,,DIPS-3-40-20-R,3076,nincs jelezve,2020/09/14/,0,"1,00",Lovász ,Átizsgálás klímázás,,,,,,,
J00034,2020/10/12,NCT (TAKSONY),Taksony,,,I32S,00E-10-0822,"valamikor régen szerelte ki Fejes Ati szervizelendő gépből, hátha van felhasználható eleme",2020/10/15/,0,"1,00",Lakatos,"Tesztelés, hibát nem találtam",,,,,,,
J00035,2020/11/06,NCT (TAKSONY),Taksony,,,DS-6/12-D,5209,"tesztelés, SZÉV tartalék",2020/11/16/,0,"1,00",Dévai,igbt tápkondik cseréje,,,Vissza SZÉV,,,,d
J00036,2020/11/06,NCT (TAKSONY),Taksony,,,DS-6/12-D,5246,"tesztelés, SZÉV tartalék",2020/11/16/,0,"1,00",Dévai,igbt tápkondik cseréje,,,Vissza SZÉV,,,,d
J00037,2021/01/10,NCT (TAKSONY),Taksony,üzem,M20085,IPS1,606-10-1049,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00038,2021/01/22,NCT (TAKSONY),Taksony,üzem,,NCT 2EXE,"201401,022",régi visszaküldve alkatrésznek,2021/02/19/,0,"1,00",Lakatos,Tesztelve O.K.,,,Feladva gyártásra (01.25),,,,
